timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,
11.50233,3.43329,0.39025,11.64779,-0.38424,0.21703,-1.82727,,,,
11.54198,1.30005,1.57778,8.9998,-0.26047,0.01439,-2.00446,,,,
11.58161,1.52032,1.4054,9.96227,0.05303,0.09566,-2.13263,,,,
11.62125,-0.2059,0.43335,8.24802,-0.25874,-0.07661,-1.63501,,,,
11.66089,-1.73101,-2.19788,10.43154,-0.14695,-0.15108,-1.05466,,,,
11.70054,0.18435,-4.18746,10.4483,0.28858,0.22743,-1.24731,,,,
11.74017,1.1157,-0.17238,14.19762,-0.25807,0.09326,-0.95673,,,,
11.77981,2.50912,-1.74058,9.92157,0.3897,0.27272,-1.23798,,,,
11.81945,0.95289,0.47884,7.73567,-0.01292,0.15428,-1.1715,,,,
11.85909,0.40462,1.19231,10.87686,-0.16654,0.07967,-1.17377,,,,
11.89874,1.99437,0.69192,6.5242,0.00053,0.08154,-1.37188,,,,
11.93838,-0.50278,-0.78769,9.9527,-0.54372,0.01519,-1.04453,,,,
11.97801,0.80924,-1.17076,8.80827,0.12044,0.12284,-1.24411,,,,
12.01766,0.50996,-0.6201,9.61272,-0.32682,0.00426,-1.05612,,,,
12.0573,0.61292,-0.99599,11.6454,-0.03411,0.03504,-1.10249,,,,
12.09696,2.25534,0.99838,8.75799,0.16454,0.19105,-1.21613,,,,
12.13662,-0.17717,-0.90261,10.90559,-0.15228,-0.0417,-0.92569,,,,
12.17627,0.91219,0.92177,9.2512,0.35426,0.20731,-1.19575,,,,
12.21591,0.75178,-0.61531,7.70215,-0.27499,0.10525,-1.25038,,,,
12.25558,-0.27294,1.15401,11.60709,-0.00893,0.03504,-1.14566,,,,
12.29525,1.85311,-1.30005,7.43878,0.08833,0.14109,-1.39879,,,,
12.3349,-1.46046,-0.44293,7.6375,-0.32948,-0.04223,-1.15312,,,,
12.37453,0.02634,-0.95768,10.96066,0.03624,-0.02358,-0.99204,,,,
12.41417,0.29449,-1.32639,7.81467,-0.04463,0.06382,-1.09849,,,,
12.45383,1.91536,1.4461,11.74116,0.17533,0.02332,-1.19628,,,,
12.4935,1.15879,-2.4373,6.74447,-0.10712,0.15495,-1.42717,,,,
12.53316,-0.05746,-1.71904,8.7532,-0.05809,-0.01705,-1.31592,,,,
12.57284,-0.67038,-0.75896,10.18015,-0.14615,0.02078,-0.9634,,,,
12.6125,-0.10774,-0.23463,8.27676,0.06009,-0.07075,-1.03161,,,,
12.65215,1.60412,0.01676,10.18493,-0.11564,0.07461,-0.92596,,,,
12.69178,-0.43574,0.31603,8.69813,-0.18919,0.08327,-0.74649,,,,
12.73141,0.38786,-1.83635,9.50019,0.01585,0.06448,-0.55584,,,,
12.77107,0.60573,0.49081,9.21049,-0.05356,-0.05502,-0.54278,,,,
12.81073,0.17957,-0.19632,9.68455,-0.10379,0.06075,-0.4723,,,,
12.85036,-0.80206,-1.44849,9.40921,-0.07967,-0.0806,-0.40822,,,,
12.89002,-0.26576,-0.85952,9.25359,0.05689,0.0433,-0.33894,,,,
12.92966,0.81642,0.66798,8.24324,-0.06302,0.09206,-0.58662,,,,
12.9693,0.96007,-0.27294,9.58638,-0.07208,0.05103,-0.54838,,,,
13.00895,1.12049,1.33596,9.76116,-0.10632,0.04716,-0.81191,,,,
13.04857,2.64799,0.43574,9.51456,-0.27712,-0.02385,-1.11142,,,,
13.08823,2.90656,-0.16759,11.09712,-0.02904,0.43926,-1.26037,,,,
13.12787,-1.09654,-0.01437,9.66779,0.01492,-0.07687,-0.96459,,,,
13.16751,1.64242,-0.19632,9.13627,-0.11032,0.10459,-1.08983,,,,
